"ScatID","sample","scat.number","CollectionType","scatseason","CollectionDate","Easting","Northing","e","e.m","YEAR","YrsSinceDi","TREATMENT_","class","hja","logged","Amphibia","Aves","Mammalia","Reptilia","Gastropoda","Arachnida","myriapoda","Insecta","Streptophyta"
"F30-142","F30",142,"F","wet",2018-11-04 11:21:00,563125,4897693,2031.250497,619.283688,NA,200,NA,3,1,0,0,0,1,0,0,0,0,1,0
"F30-39","F30",39,"F","wet",2018-10-31 11:08:00,563026,4898018,1795.014203,547.2604277,1951,67,"Clearcut",2,1,1,0,1,0,0,0,0,0,1,0
"F36-173","F36",173,"F","wet",2018-11-10 13:43:00,559441,4895430,1438.194898,438.4740544,NA,200,NA,3,1,0,0,0,1,0,0,0,1,0,0
"F37-150","F37",150,"F","wet",2018-11-08 10:12:00,560679,4896500,1796.887174,547.8314554,NA,200,NA,3,1,0,0,0,0,0,0,0,0,1,0
"F37-151","F37",151,"F","wet",2018-11-08 10:16:00,560679,4896500,1796.887174,547.8314554,NA,200,NA,3,1,0,0,0,0,0,0,0,0,1,1
"F37-152","F37",152,"F","wet",2018-11-08 10:18:00,560679,4896500,1796.887174,547.8314554,NA,200,NA,3,1,0,0,0,0,0,0,0,0,1,0
"F37-153","F37",153,"F","wet",2018-11-08 10:41:00,560679,4896500,1796.887174,547.8314554,NA,200,NA,3,1,0,0,1,0,0,0,0,0,0,0
"F37-154","F37",154,"F","wet",2018-11-08 10:43:00,560679,4896500,1796.887174,547.8314554,NA,200,NA,3,1,0,0,0,0,0,0,0,0,1,0
"F37-155","F37",155,"F","wet",2018-11-08 10:47:00,560679,4896500,1796.887174,547.8314554,NA,200,NA,3,1,0,0,1,1,0,0,0,0,1,0
"F37-156","F37",156,"F","wet",2018-11-08 10:48:00,560679,4896500,1796.887174,547.8314554,NA,200,NA,3,1,0,0,1,1,0,0,0,0,1,0
"F37-158","F37",158,"F","wet",2018-11-08 10:50:00,560679,4896500,1796.887174,547.8314554,NA,200,NA,3,1,0,0,0,0,0,0,0,0,1,0
"F37-159","F37",159,"F","wet",2018-11-08 10:52:00,560679,4896500,1796.887174,547.8314554,NA,200,NA,3,1,0,0,1,1,0,0,0,0,1,0
"F37-162","F37",162,"F","wet",2018-11-08 10:57:00,560679,4896500,1796.887174,547.8314554,NA,200,NA,3,1,0,0,0,0,0,0,0,0,1,0
"F37-192","F37",192,"F","wet",2018-11-14 08:57:00,564316,4895640,4441.083485,1353.988868,1969,49,"Clearcut",2,1,1,0,0,1,0,0,0,0,0,0
"F37-193","F37",193,"F","wet",2018-11-14 09:15:00,560274,4896170,1530.321559,466.5614509,NA,200,NA,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F37-194","F37",194,"F","wet",2018-11-14 09:40:00,560246,4896097,1555.901906,474.3603371,NA,200,NA,3,1,0,0,0,1,0,0,1,0,0,7
"F37-241","F37",241,"F","wet",2018-11-14 09:53:00,560680,4896196,1979.761278,603.5857556,NA,200,NA,3,1,0,0,1,1,0,0,0,0,1,0
"F37-242","F37",242,"F","wet",2018-11-14 09:56:00,560680,4896196,1979.761278,603.5857556,NA,200,NA,3,1,0,0,0,0,0,0,0,0,1,0
"F37-243","F37",243,"F","wet",2018-11-14 09:58:00,560680,4896196,1979.761278,603.5857556,NA,200,NA,3,1,0,0,0,0,0,0,0,0,1,0
"F37-51","F37",51,"F","wet",2018-11-03 15:56:00,562606,4894916,2933.352079,894.3146584,1973,45,"Clearcut",2,0,1,0,0,0,0,0,0,0,1,0
